foreign1,foreign2,definitions,level
恐ろしい,おそろしい,terrible; dreadful; terrifying; frightening; frightened / surprising; startling; tremendous; amazing,JLPT N-3
狂う,くるう,to go mad / to get out of order; to go amiss,JLPT N-3
苦しい,くるしい,"painful; difficult; tough; hard / distressing; (psychologically) difficult; stressful; awkward (e.g. position) / straitened (circumstances); tight (financial situation); needy; struggling / strained (interpretation, explanation, etc.); lame (e.g. excuse); forced (e.g. smile); far-fetched / hard to do; unpleasant",JLPT N-3
苦しむ,くるしむ,to suffer; to groan; to be worried,JLPT N-3
経つ,たつ,to pass (of time); to elapse,JLPT N-3
決心,けっしん,determination; resolution,JLPT N-3
券,けん,ticket; coupon; bond; certificate,JLPT N-3
嫌う,きらう,to hate; to dislike; to loathe,JLPT N-3
見当,けんとう,estimate; guess; conjecture; aim / direction; bearings / registration mark (printing) / approximately; about; around,JLPT N-3
賢い,かしこい,wise; clever; smart,JLPT N-3
軒,のき,eaves / narrow aisle surrounding the core of a temple building,JLPT N-3
減らす,へらす,to abate; to decrease; to diminish; to shorten,JLPT N-3
減る,へる,to decrease (in size or number); to diminish; to abate,JLPT N-3
現れる,あらわれる,"to appear; to come in sight; to become visible; to come out; to embody; to materialize; to materialise / to be expressed (e.g. emotions); to become apparent (e.g. trends, effects)",JLPT N-3
語,ご,language / word,JLPT N-3
好む,このむ,to like; to prefer,JLPT N-3
幸い,さいわい,happiness; blessedness; luck; fortune; felicity / luckily; fortunately,JLPT N-3
さらに,更に,furthermore; again; after all; more and more; moreover; even more,JLPT N-3
硬貨,こうか,coin / hard currency,JLPT N-3
行儀,ぎょうぎ,manners; behavior; behaviour,JLPT N-3
合図,あいず,sign; signal; cue,JLPT N-3
黒板,こくばん,blackboard,JLPT N-3
今に,いまに,before long; even now,JLPT N-3
鎖,くさり,chain; chains,JLPT N-3
作物,さくもつ,produce (e.g. agricultural); crops,JLPT N-3
伺う,うかがう,"to ask; to inquire; to hear; to be told / to implore (a god for an oracle); to seek direction (from your superior) / to visit / to speak to (a large crowd at a theatre, etc.)",JLPT N-3
指す,さす,to point / to nominate; to select someone; to specify some person / to identify; to indicate; to point out / to play (a game of shogi); to move (a piece) / to extend one's arm straight ahead (in dance),JLPT N-3
支度,したく,preparation; arrangements,JLPT N-3
至る,いたる,to arrive at (e.g. a decision); to reach (a stage); to attain / to lead to (a place); to get to / in the extreme case of / to come; to arrive; to result in,JLPT N-3
試し,ためし,trial; test,JLPT N-3
試す,ためす,to attempt; to test; to try out,JLPT N-3
飼う,かう,to keep (a pet or other animal); to have; to own; to raise; to rear; to feed,JLPT N-3
似合う,にあう,to suit; to match; to become; to be like,JLPT N-3
次第,しだい,depending on / as soon as; immediately (upon) / in accordance with / order; program; programme; precedence / circumstances; course of events; reason,JLPT N-3
辞める,やめる,"to resign; to retire; to quit; to leave (one's job, etc.)",JLPT N-3
取り上げる,とりあげる,"to pick up / to adopt (e.g. a proposal); to accept; to take up (a topic, complaint, etc.); to listen to; to deal with; to feature / to take away; to confiscate; to deprive (someone) of; to revoke / to deliver (a baby) / to collect (taxes)",JLPT N-3
手品,てじな,magic (illusion); conjuring; magic trick; conjuring trick; sleight of hand,JLPT N-3
従う,したがう,"to obey (an order, law, etc.); to abide by (a rule, custom, etc.); to follow; to observe; to conform to; to yield to / to follow (a person); to accompany; to go with / to go alongside (e.g. a river); to follow (e.g. a sign) / to serve (as); to engage in (work)",JLPT N-3
祝う,いわう,to congratulate; to celebrate; to observe (a festival),JLPT N-3
できるだけ,出来るだけ,as much as one can; as much as possible; if at all possible,JLPT N-3
述べる,のべる,to state; to express; to mention,JLPT N-3
書斎,しょさい,study; library; den; home office; reading room,JLPT N-3
助ける,たすける,to save; to rescue / to help; to assist / to aid; to contribute (financially) / to facilitate; to stimulate,JLPT N-3
上京,じょうきょう,proceeding to the capital (Tokyo),JLPT N-3
上達,じょうたつ,"improvement (e.g. in skill, ability); advance; progress / communication of opinions of the general populace to those of high rank",JLPT N-3
上等,じょうとう,superior; first-class; excellent; top quality / (that's) just fine!; bring it on!,JLPT N-3
